,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,"40,927","41,632","41,868","42,310","42,635","42,475","42,193","42,000","41,801","42,109","42,154","42,310","42,323","42,499","42,860","42,720","42,961","43,245","43,388","43,201","43,419","43,580","43,851","43,912"
2,"35,948","36,133","36,404","37,034","37,014","36,913","37,086","37,367","36,982","36,694","37,011","37,124","37,060","37,268","37,466","37,551","37,524","37,567","37,558","37,512","37,572","37,389","37,389","37,329"
3,"52,268","52,704","53,126","53,279","53,369","53,675","53,429","53,512","53,524","53,671","53,549","53,835","53,804","53,873","53,832","53,636","53,774","53,769","53,980","53,854","53,843","53,908","54,032","54,101"
4,"41,887","42,706","42,860","43,144","43,244","43,040","43,092","42,385","42,673","42,808","42,673","42,611","42,505","42,359","42,229","42,226","42,385","42,195","42,523","42,517","42,407","42,628","42,775","42,741"
5,"40,071","40,804","41,470","41,862","41,893","42,103","42,166","42,382","42,404","42,577","42,615","42,397","43,243","43,158","43,193","43,277","43,420","43,282","42,865","43,223","43,207","43,125","43,234","42,886"
6,"36,368","36,489","36,847","36,860","36,772","37,375","37,899","37,842","37,848","38,101","38,283","38,675","38,977","38,681","37,528","36,836","36,433","36,307","36,080","36,240","36,521","36,403","36,719","36,627"
7,"54,778","55,495","55,711","55,737","55,828","56,015","56,107","56,206","56,186","55,875","55,680","55,785","55,914","55,833","55,450","55,182","54,983","54,797","54,713","54,533","54,668","54,723","54,771","54,765"
8,"41,339","42,279","42,637","41,955","41,883","42,380","42,890","42,954","42,289","42,628","42,742","42,494","42,249","42,184","42,177","42,026","42,151","42,000","42,119","42,119","42,119","42,105","41,881","41,460"
9,"35,240","35,402","35,323","35,934","35,908","35,950","36,352","36,380","35,576","35,684","35,868","35,827","35,816","36,444","36,626","36,785","36,745","36,378","36,745","36,582","36,675","36,508","37,002","36,822"
10,"48,058","48,103","47,859","48,105","47,392","47,581","48,141","48,102","47,950","48,123","48,115","48,585","48,847","49,036","49,173","49,473","49,517","49,451","49,342","48,720","47,899","47,628","47,780","47,787"
œrednia,"42,688382","43,17464","43,410568","43,622044","43,59388","43,750842","43,93552","43,912904","43,723302","43,827046","43,869024","43,964166","44,07383","44,13358","44,053342","43,971226","43,989374","43,899018","43,931216","43,84997","43,832948","43,799804","43,943498","43,842988"
