support;best;worst;srednia;auto;rules
2;54,77842;35,24028;42,688382;44,460934;36,48381
3;55,49486;35,40178;43,17464;44,450572;36,48381
4;55,7114;35,32292;43,410568;44,434782;36,48381
5;55,7371;35,93392;43,622044;44,476004;36,48381
6;55,8282;35,90818;43,59388;44,474224;36,47259
7;56,01546;35,95044;43,750842;44,449402;36,47526
8;56,1066;36,35228;43,93552;44,427768;36,3202
9;56,20624;36,37982;43,912904;44,419718;36,44542
10;56,1855;35,57606;43,723302;44,42434;36,58518
11;55,87456;35,68438;43,827046;44,463242;36,52217
12;55,68042;35,86784;43,869024;44,44524;36,76021
13;55,78518;35,82746;43,964166;44,40453;36,67257
14;55,91396;35,81648;44,07383;44,421752;36,69288
15;55,8332;36,44406;44,13358;44,27808;36,67665
16;55,45004;36,62558;44,053342;44,08598;36,83611
17;55,18214;36,7852;43,971226;43,997706;36,88855
18;54,98286;36,74492;43,989374;44,01952;36,8557
19;54,79712;36,37796;43,899018;43,98172;37,01566
20;54,71304;36,74494;43,931216;43,987554;37,11794
21;54,53256;36,58168;43,84997;44,029128;37,26895
22;54,6683;36,6752;43,832948;44,010212;37,21695
23;54,72334;36,50824;43,799804;43,95638;37,30306
24;54,77146;37,0018;43,943498;43,94493;37,43638
25;54,76458;36,82194;43,842988;43,940278;37,33398
